Algorithm,Size,Time
elementaryMultiplication,2048,57.618666706
elementaryMultiplication,2048,67.837848693
elementaryMultiplication,2048,65.389219892
elementaryMultiplication,2048,86.726147542
elementaryMultiplication,2048,72.323146563
elementaryMultiplication,2048,71.358533472
elementaryMultiplication,2048,96.260203163
elementaryMultiplication,2048,62.249830778
elementaryMultiplication,2048,70.289738291
elementaryMultiplication,2048,77.083484884
elementaryMultiplication,3072,237.322174056
elementaryMultiplication,3072,232.560911104
elementaryMultiplication,3072,235.372142875
elementaryMultiplication,3072,262.234931782
elementaryMultiplication,3072,265.267013203
elementaryMultiplication,3072,303.611072513
elementaryMultiplication,3072,353.502896036
elementaryMultiplication,3072,283.538622076
elementaryMultiplication,3072,353.972298199
elementaryMultiplication,3072,270.056862112
elementaryMultiplication,4096,757.818360031
elementaryMultiplication,4096,713.233168707
elementaryMultiplication,4096,693.208432304
elementaryMultiplication,4096,683.557315585
elementaryMultiplication,4096,823.014996042
elementaryMultiplication,4096,770.818605033
elementaryMultiplication,4096,737.794977451
elementaryMultiplication,4096,670.613159444
elementaryMultiplication,4096,912.310840815
elementaryMultiplication,4096,734.176564207
elementaryMultiplicationTransposed,2048,18.703835087
elementaryMultiplicationTransposed,2048,18.616597062
elementaryMultiplicationTransposed,2048,18.456075245
elementaryMultiplicationTransposed,2048,18.414674284
elementaryMultiplicationTransposed,2048,18.500399449
elementaryMultiplicationTransposed,2048,18.302594374
elementaryMultiplicationTransposed,2048,18.38830461
elementaryMultiplicationTransposed,2048,18.288403775
elementaryMultiplicationTransposed,2048,18.447915696
elementaryMultiplicationTransposed,2048,18.377155551
elementaryMultiplicationTransposed,3072,59.049006459
elementaryMultiplicationTransposed,3072,58.914741123
elementaryMultiplicationTransposed,3072,58.854570415
elementaryMultiplicationTransposed,3072,58.822334056
elementaryMultiplicationTransposed,3072,58.914033718
elementaryMultiplicationTransposed,3072,59.059869813
elementaryMultiplicationTransposed,3072,58.806514215
elementaryMultiplicationTransposed,3072,58.939850613
elementaryMultiplicationTransposed,3072,58.891160355
elementaryMultiplicationTransposed,3072,58.83601627
elementaryMultiplicationTransposed,4096,116.907204201
elementaryMultiplicationTransposed,4096,116.698565204
elementaryMultiplicationTransposed,4096,116.614824622
elementaryMultiplicationTransposed,4096,116.668898491
elementaryMultiplicationTransposed,4096,116.681574352
elementaryMultiplicationTransposed,4096,116.670482484
elementaryMultiplicationTransposed,4096,117.075058606
elementaryMultiplicationTransposed,4096,116.560277193
elementaryMultiplicationTransposed,4096,116.769017766
elementaryMultiplicationTransposed,4096,116.959870168
tiledMultiplication,2048,22.596479858
tiledMultiplication,2048,22.285617767
tiledMultiplication,2048,16.335353658
tiledMultiplication,2048,15.926687029
tiledMultiplication,2048,16.360110659
tiledMultiplication,2048,16.157465642
tiledMultiplication,2048,16.111743917
tiledMultiplication,2048,16.379409351
tiledMultiplication,2048,16.082716083
tiledMultiplication,2048,16.146833873
tiledMultiplication,3072,54.156863153
tiledMultiplication,3072,53.946648934
tiledMultiplication,3072,54.621501122
tiledMultiplication,3072,53.765588234
tiledMultiplication,3072,53.783947333
tiledMultiplication,3072,53.737588228
tiledMultiplication,3072,53.837892006
tiledMultiplication,3072,53.969081084
tiledMultiplication,3072,53.725220312
tiledMultiplication,3072,53.71722773
tiledMultiplication,4096,132.690169072
tiledMultiplication,4096,133.107731328
tiledMultiplication,4096,133.097309843
tiledMultiplication,4096,133.05925494
tiledMultiplication,4096,133.112224903
tiledMultiplication,4096,133.056858421
tiledMultiplication,4096,133.125406902
tiledMultiplication,4096,132.968066587
tiledMultiplication,4096,133.058595587
tiledMultiplication,4096,133.093680029
